nn4sys,onnx/test_nano.onnx,vnnlib/test_nano.vnnlib,0,unsat,0
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_47.vnnlib,0,unsat,1.65,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_48.vnnlib,0,unsat,1.87,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_49.vnnlib,0,unsat,1.56,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_50.vnnlib,0,unsat,1.65,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_51.vnnlib,0,unsat,1.63,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_52.vnnlib,0,unsat,1.8,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_53.vnnlib,0,unsat,1.6,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_54.vnnlib,0,unsat,1.83,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_55.vnnlib,0,unsat,1.86,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_56.vnnlib,0,unsat,1.56,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_57.vnnlib,0,unsat,1.4,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_58.vnnlib,0,unsat,1.47,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_59.vnnlib,0,unsat,1.45,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_60.vnnlib,0,unsat,1.58,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_61.vnnlib,0,unsat,1.62,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_62.vnnlib,0,unsat,2.29,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_63.vnnlib,0,unsat,1.67,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_64.vnnlib,0,unsat,1.58,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_65.vnnlib,0,unsat,1.83,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_66.vnnlib,0,unsat,1.78,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_67.vnnlib,0,unsat,1.54,l1audit-20260804-d1282d23
nn4sys,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_68.vnnlib,0,unsat,1.71,l1audit-20260804-d1282d23
